wallet,mean_markout,std_markout,n_trades,quintile
0x00000ee4618bf11ded9737e498cd3d918b664426,-3.6224437926531956,5.534164409182653,15,2
0x0000fe23373ef1253788a92b1c05c896d4b6384f,-12.284299763904786,8.43708930326239,5,1
0x0007448f4ba168e24c35f835eefa1a76587d691d,0.4034276526196765,3.6986045138826182,38,3
0x000aba3fffb94d769c3aa1b3eacdc237de18802e,-15.632762778368527,8.841897337196007,55,1
0x001418a3db539dcf91b6b427ca5b26977ad10489,0.9227621348550208,5.639073907240238,91,3
0x00199934edbdddf9ba2616ff543731cebd2d37c5,0.3196214151882472,9.696055814057894,5,3
0x001ac3f0972b620cd6be82ba54d111614d7d48fb,-0.25708923567346853,0.0,8,3
0x0027ec57ece4bf94d34860a1ad6fc0cdc9d318fa,0.34939888585240503,19.937966130132164,7,3
0x003b1bf8852eedf3e8117f2ccf5d9227cf756b62,-6.9673576813785445,19.19381804780451,24,1
0x00409414fd7fb5f388d0d32d3cba8ab96b7cfec9,-10.335706772371342,14.786548243664262,5,1
0x0041287043b3c221b19eed8fbfb3bc6b3da03ba4,3.172065182636099,48.54142700691532,22,4
0x00445d68ed80b7b6428d2f3f56eb48995cf57121,-2.781012401185981,6.787234895337592,6,2
0x0049da996b91317098a483ad267f221699ee6f2d,-4.830644177897823,8.354013692629964,7,2
0x006642e1bf48a96903952b9d0f10e379a0e9170a,-6.513659152834311,5.479226926350011,9,1
0x006a6549b090df7d5f75d52f1af797e5342ae00c,0.9498134570705868,8.36726041467792,21,3
0x006f24a47fc10e5cc690671a90da3ff0e0754f8f,-12.642100479102416,0.28414695750623375,5,1
0x007081f495b476521d42e6ed7c72532a2fbd1991,2.5504893688026775,0.10558695975997298,5,4
0x0071e43683b6b0eca57643ff82336f51b9426306,5.253109569723247,0.6554118246889207,36,5
0x007423ca6904caf68d0ba5a49b81be759f4f9fa3,-0.2871915579270608,4.240718562115759,23,3
0x007d142b804c417bc177b394d80e8922e17aa23d,1.2721367268084465,5.549631532889813,41,4
0x0088c197662267c3bccde4d246f80f4c97f02f94,-18.31125463191271,25.61348830506259,22,1
0x00897e2d7168165b81558c3cd9257efb007f2410,-11.392195248238458,23.11235625933444,151,1
0x009c22055ee7277586d57443e11822fcaa511da8,9.102253399705695,15.350028403578195,12,5
0x009def3b8b479e1d6cb43afbb373463b7f7d0c98,7.483894505916645,25.285027626673305,5,5
0x00a73fb6465d2787e7e4513b4aadbd0061735371,-5.038061097327863,5.441289558104082,11,1
0x00b0aa2d4e84365c64188704e30fc51717dbfeee,-0.4205383773571747,3.006109150423007,12,3
0x00bcedd0fd63fe663f392c0c9c58f0cd1420701b,-13.64277094563088,6.518420150260118,40,1
0x00c0591986ba52ed813eca30ef9b557e33807606,-2.627329455429204,1.5947729040223433,10,2
0x00c511ab1b583f4efab3608d0897d377c4de47a6,0.6710649179478222,6.332796398488178,3414,3
0x00c9ac5f0b6b7f6c10f91ef0be5b1fc5737bad36,9.792523242394086,14.37761281665391,10,5
0x00d0e8596406171d9fbc03a27ff32ac1de695b71,0.06964247493653783,25.39076281774179,7,3
0x00d204668adf70331b2c4d5a3b1a9ea5350af480,-0.5807074400988458,30.177868403989983,6,3
0x00d489f0a4a6a98d9fae966be51e4042d9ffa3da,-2.9205662735654294,2.5409301671111053,13,2
0x00df03d1be4b43b02ef24b1c3c20bfbccea02ee6,3.9126948301419713,16.244744457706243,8,4
0x00ea84af6a2ae41876eeaff11feadc234e700f29,-14.47474750002147,21.145107760621205,5,1
0x00ed3f1c5c97c8b529e3d9258040bece2777fcfb,-3.857218639549026,2.923888477358356,7,2
0x00f668ce1044affbf9c966a7b8f6075ac52e6fda,13.735082684689377,15.25401630311955,5,5
0x00ff0cfa9d65345f37d09a23510ee9453365680e,-5.82467014359577,22.209104334420665,5,1
0x010461c14e146ac35fe42271bdc1134ee31c703a,-0.05740225437524213,15.99613507852269,5843,3
0x010e2fddce24d083b350bf9e9d9858c446349f11,4.333965527946775,0.18877643844308445,5,4
0x0110e2aeee98e5a11b8e16bd4344044c816ffeaa,1.680561587608619,1.9825486222568096,23,4
0x01125af9ea42b6de7e808af082ca601af5e9d9d5,2.6013214713080157,0.0,7,4
0x011af0d7a38f1b1b43cffd7a51e1aa38d1c61ece,7.8003268572160644,8.686331359774833,30,5
0x0135111a7f054ffcbbf429ccdb983724a87b4009,4.9262406625736626,0.08922882609442889,7,5
0x013ae489943a4db5d9d63fcaa784ffb67d092098,-6.609772895373065,5.186541719338707,6,1
0x0142b1f8b218b2d2c995fe0ad7b962dc7f6d832a,-0.35795912952746367,0.9211705116792345,8,3
0x014d8766c977c48482c21d2ec65b251d30048a26,-2.4347406150129194,4.704894204665938,27,2
0x0155906477f7f05f0fe850bc9c4b5933a77cf58e,-0.022556364969161965,7.931625918082264,22,3
0x0161697f7f03395b8fee76f9690e224c9bc85660,-0.6442733954225245,9.217756895961731,5,3
0x01676c9d76fe3794ac94b8c44309c466e622e135,-0.059723884518637374,0.3263878904635103,7,3
0x016ab691721a99da1c1489ca0ac8b549eb0f7713,0.12286533419821027,4.2470499432774895,22,3
0x01783e91d31c69633153c2aadbf9b7901049d03a,3.067117248037882,12.048599285947564,123,4
0x0179baf8769de19a228cd7f1ff5ba5f432ab219f,-0.01157213716730611,8.370970507410771,2097,3
0x018f697c801051fa4b888b3ef2c4dc08cab4d070,-12.78365572159257,0.10349892385121227,8,1
0x01935856a1eff73f2ffbbbb5da990e0ac08b7049,-3.7023269675616564,2.6128493222296902,11,2
0x01a13065c72fdea50a1bc8e9aa48653bd46b70d4,3.7176028559477396,3.389669682471785,34,4
0x01be49988941acf78a51340b5f4a3618657af088,-4.142506922850301,11.029023332336031,12,2
0x01c2c2fbb812ef98c36f2e8b24be66812bea684f,-10.43694365285651,7.286578403950677,9,1
0x01d1db56573adcad3c6d775c1873a7db9c141cd7,4.369507705479516,14.12404758052167,41,4
0x01dc92684f548d4eb981762276c9cea5189c1fe6,-2.0442554727253124,12.88730059486418,8,2
0x01f88815b62d0dabab44a952cdf2ca44672508fa,-3.5679403355858375,6.570016016887421,102,2
0x01fcd3865a3759a6ced47cf2d06294dd0ab0edc8,9.330710202424656,12.39444148789406,10,5
0x0202ef0ff22c58039de970c4460c9ebd2ed6b309,0.18074694482871995,1.1093086767118467,5,3
0x0205f196f154d6d01c90a56b34c4582c85ddfd39,-3.820572643467291,2.8879610915752805,7,2
0x020ca66c30bec2c4fe3861a94e4db4a498a35872,3.1614726483727167,9.238798787278725,788,4
