coin,wallet,n_fills,tob_fills,tob_rate,volume,mpsc,outage_fills,outage_tob_fills,outage_tob_rate,withdrew
AVAX,0x26869599b7647177c78610d7a6b9d0b7bf32fcf5,5,2,0.4,321.51,0.005847953216374269,0.0,0.0,,True
AVAX,0x2b4a05e0065fc549a6cdd82307733df8982304cd,52,34,0.6538461538461539,5825.69,0.09941520467836257,0.0,0.0,,True
AVAX,0x2f55331b4fa24efa8fbfeafb896669c0733f827a,1,1,1.0,15.0,0.0029239766081871343,7.0,2.0,0.2857142857142857,False
AVAX,0x3137dab4798758869ec683b221a0a8067ae30fae,11,8,0.7272727272727273,179.71,0.023391812865497075,2.0,0.0,0.0,False
AVAX,0x31ca8395cf837de08b24da3f660e77761dfb974b,103,40,0.3883495145631068,2498.3,0.11695906432748537,140.0,48.0,0.34285714285714286,False
AVAX,0x365e0c115f1ca1adcb42fd21142873493df7f880,12,5,0.4166666666666667,295.67,0.014619883040935672,160.0,63.0,0.39375,False
AVAX,0x4e7cfe8e3e20284ba246978abaf301c5fb0ccc9c,1,0,0.0,15.0,0.0,9.0,1.0,0.1111111111111111,False
AVAX,0x54f9524155c82f1f3f2c5e086ba513df442a18ef,10,2,0.2,134.26,0.005847953216374269,26.0,7.0,0.2692307692307692,False
AVAX,0x57dd78cd36e76e2011e8f6dc25cabbaba994494b,58,20,0.3448275862068966,5951.24,0.05847953216374269,0.0,0.0,,True
AVAX,0x644f7170fae9d4d173d9217f03b7a77e22ed98f1,13,3,0.23076923076923078,318.28000000000003,0.008771929824561403,4.0,0.0,0.0,False
AVAX,0x6841d054382a35308004089646cc0dc078fc40b5,94,52,0.5531914893617021,10246.79,0.15204678362573099,0.0,0.0,,True
AVAX,0x6ac569a098a850a6a3c37547bc5d1d85cba80f33,58,4,0.06896551724137931,3630.65,0.011695906432748537,114.0,16.0,0.14035087719298245,False
AVAX,0x6b091553eda5c8dc0a2bb9f48bd44c91bd9c56aa,3,1,0.3333333333333333,2.69,0.0029239766081871343,0.0,0.0,,True
AVAX,0x6ba889db7f923622d3548f621ecc2054b80c1817,10,0,0.0,974.1700000000001,0.0,83.0,32.0,0.3855421686746988,False
AVAX,0x6da22bdd4ed69704c4912ced8ba988e93e6b0a83,1,0,0.0,2.16,0.0,0.0,0.0,,True
AVAX,0x74640f16f8fbb059ede3d76e5f41d8451f1dea77,1,1,1.0,0.41,0.0029239766081871343,0.0,0.0,,True
AVAX,0x7717a7a245d9f950e586822b8c9b46863ed7bd7e,56,24,0.42857142857142855,2648.6,0.07017543859649122,0.0,0.0,,True
AVAX,0x7bde2b9240a2ee352108c6823a9fa20f225b83a0,7,5,0.7142857142857143,4.18,0.014619883040935672,0.0,0.0,,True
AVAX,0x8e80c4b533dd977cf716b5c24fd9223129272804,25,5,0.2,11780.039999999999,0.014619883040935672,654.0,376.0,0.5749235474006116,False
AVAX,0x90860ae0751ebbec03efe52e10e886771f89affb,35,23,0.6571428571428571,6785.66,0.06725146198830409,0.0,0.0,,True
AVAX,0x96910c715abd12c495a4891752a1f8d37c3e92aa,2,1,0.5,2.0300000000000002,0.0029239766081871343,0.0,0.0,,True
AVAX,0x98daeaed62a12b1a882f515416d358254f166de1,25,9,0.36,988.9200000000001,0.02631578947368421,1.0,0.0,0.0,False
AVAX,0xaacf9c280ff816b23af461c67a63fe52326a98f9,7,5,0.7142857142857143,599.3100000000001,0.014619883040935672,0.0,0.0,,True
AVAX,0xaf9f722a676230cc44045efe26fe9a85801ca4fa,1,0,0.0,48.83,0.0,0.0,0.0,,True
AVAX,0xd0254dd9c10498b256b6ec3bd8de37a9ba4329de,2,0,0.0,496.9,0.0,0.0,0.0,,True
AVAX,0xd11a880a60b889f9e88d260a3be04accd60c0efe,4,3,0.75,4.14,0.008771929824561403,0.0,0.0,,True
AVAX,0xd6ef5649200101eb44ce8949f4cfb167b0c5a07a,4,1,0.25,119.83,0.0029239766081871343,0.0,0.0,,True
AVAX,0xdbe22a43d15c724c0d07d7e630d2d01e546facf0,2,1,0.5,216.58999999999997,0.0029239766081871343,1.0,0.0,0.0,False
AVAX,0xdbfa2a585b5ed6115950a3eaead82df47918304d,1,1,1.0,51.77,0.0029239766081871343,3.0,0.0,0.0,False
AVAX,0xdcac85ecae7148886029c20e661d848a4de99ce2,8,5,0.625,246.16,0.014619883040935672,12.0,0.0,0.0,False
AVAX,0xe86b057f5eb764c9738d6b0d38170befd0723664,9,0,0.0,1505.6499999999999,0.0,0.0,0.0,,True
AVAX,0xe93a66c25fb2ae6b32e5b7cdf6d0f90032837620,1,0,0.0,63.82,0.0,0.0,0.0,,True
AVAX,0xecb63caa47c7c4e77f60f1ce858cf28dc2b82b00,9,2,0.2222222222222222,167.83,0.005847953216374269,1.0,0.0,0.0,False
AVAX,0xedb8145c53544f67b6decb6146c02de08c380af8,2,0,0.0,15.969999999999999,0.0,0.0,0.0,,True
AVAX,0xf27ebb91ea420f73b59b205ac7e0b77a90ec8f3c,1,1,1.0,194.53,0.0029239766081871343,0.0,0.0,,True
AVAX,0xfbe4bd83d7b18ced445f4a7aeb99ec7631979446,3,2,0.6666666666666666,965.1500000000001,0.005847953216374269,0.0,0.0,,True
AVAX,0xfde5c5eb018f9d24508699481d5281437765fb93,1,1,1.0,484.32,0.0029239766081871343,0.0,0.0,,True
BTC,0x00ca82829317ac8cc9eb8585f15b31f4bce96e24,4,4,1.0,2.8309300000000004,0.0006420545746388443,0.0,0.0,,True
BTC,0x010461c14e146ac35fe42271bdc1134ee31c703a,75,33,0.44,0.91238,0.005296950240770465,63.0,0.0,0.0,False
BTC,0x010f235f08d80d130c3c4af0c8eacc40e8f0dca2,1,1,1.0,0.00103,0.00016051364365971107,0.0,0.0,,True
BTC,0x0142b1f8b218b2d2c995fe0ad7b962dc7f6d832a,5,5,1.0,0.327,0.0008025682182985554,0.0,0.0,,True
