asset,time,spread,bid_updates,ask_updates,quote_updates,ratio,log_ratio,n_informed,n_uninformed,n_total,spread_lag1,spread_lead1,ratio_lag1,ratio_lead1,log_ratio_lag1,spread_lag2,spread_lead2,ratio_lag2,ratio_lead2,log_ratio_lag2,spread_lag3,spread_lead3,ratio_lag3,ratio_lead3,log_ratio_lag3,spread_lag4,spread_lead4,ratio_lag4,ratio_lead4,log_ratio_lag4,spread_lag5,spread_lead5,ratio_lag5,ratio_lead5,log_ratio_lag5,spread_lag6,spread_lead6,ratio_lag6,ratio_lead6,log_ratio_lag6,d_spread,d_ratio,d_log_ratio,minute,is_outage
ARB,2025-07-29 13:11:00+00:00,2.292999472609869,36,18,54,1.0,0.0,0,0,3,2.9786454228768573,3.2081395082387085,1.0,1.0,0.0,3.4342624921307077,2.9771105996592127,1.0,0.09090909090909091,0.0,2.520536645165702,2.290373559927372,1.0,1.0,0.0,2.8652289541597065,3.2041745817401748,1.0,21.0,0.0,4.126121789903818,4.1135336627901165,1.0,1.0,0.0,2.7463726435088933,3.655597100455751,1.0,1.0,0.0,-0.6856459502669883,0.0,0.0,791,False
ARB,2025-07-29 13:12:00+00:00,3.2081395082387085,32,20,52,1.0,0.0,0,0,1,2.292999472609869,2.9771105996592127,1.0,0.09090909090909091,0.0,2.9786454228768573,2.290373559927372,1.0,1.0,0.0,3.4342624921307077,3.2041745817401748,1.0,21.0,0.0,2.520536645165702,4.1135336627901165,1.0,1.0,0.0,2.8652289541597065,3.655597100455751,1.0,1.0,0.0,4.126121789903818,3.6466405324093687,1.0,0.09090909090909091,0.0,0.9151400356288395,0.0,0.0,792,False
ARB,2025-07-29 13:13:30+00:00,2.9771105996592127,33,21,54,0.09090909090909091,-2.3978952727983707,0,1,4,3.2081395082387085,2.290373559927372,1.0,1.0,0.0,2.292999472609869,3.2041745817401748,1.0,21.0,0.0,2.9786454228768573,4.1135336627901165,1.0,1.0,0.0,3.4342624921307077,3.655597100455751,1.0,1.0,0.0,2.520536645165702,3.6466405324093687,1.0,0.09090909090909091,0.0,2.8652289541597065,3.6443978771380876,1.0,11.0,0.0,-0.23102890857949587,-0.9090909090909091,-2.3978952727983707,793,False
ARB,2025-07-29 13:14:00+00:00,2.290373559927372,37,25,62,1.0,0.0,1,1,2,2.9771105996592127,3.2041745817401748,0.09090909090909091,21.0,-2.3978952727983707,3.2081395082387085,4.1135336627901165,1.0,1.0,0.0,2.292999472609869,3.655597100455751,1.0,1.0,0.0,2.9786454228768573,3.6466405324093687,1.0,0.09090909090909091,0.0,3.4342624921307077,3.6443978771380876,1.0,11.0,0.0,2.520536645165702,4.779842720413069,1.0,1.0,0.0,-0.6867370397318409,0.9090909090909091,2.3978952727983707,794,False
ARB,2025-07-29 13:17:00+00:00,3.2041745817401748,36,20,56,21.0,3.044522437723423,2,0,3,2.290373559927372,4.1135336627901165,1.0,1.0,0.0,2.9771105996592127,3.655597100455751,0.09090909090909091,1.0,-2.3978952727983707,3.2081395082387085,3.6466405324093687,1.0,0.09090909090909091,0.0,2.292999472609869,3.6443978771380876,1.0,11.0,0.0,2.9786454228768573,4.779842720413069,1.0,1.0,0.0,3.4342624921307077,3.8719522611050547,1.0,1.0,0.0,0.913801021812803,20.0,3.044522437723423,797,False
ARB,2025-07-29 13:20:00+00:00,4.1135336627901165,52,16,68,1.0,0.0,0,0,5,3.2041745817401748,3.655597100455751,21.0,1.0,3.044522437723423,2.290373559927372,3.6466405324093687,1.0,0.09090909090909091,0.0,2.9771105996592127,3.6443978771380876,0.09090909090909091,11.0,-2.3978952727983707,3.2081395082387085,4.779842720413069,1.0,1.0,0.0,2.292999472609869,3.8719522611050547,1.0,1.0,0.0,2.9786454228768573,4.211027095077586,1.0,1.0,0.0,0.9093590810499417,-20.0,-3.044522437723423,800,False
ARB,2025-07-29 13:20:30+00:00,3.655597100455751,44,23,67,1.0,0.0,0,0,3,4.1135336627901165,3.6466405324093687,1.0,0.09090909090909091,0.0,3.2041745817401748,3.6443978771380876,21.0,11.0,3.044522437723423,2.290373559927372,4.779842720413069,1.0,1.0,0.0,2.9771105996592127,3.8719522611050547,0.09090909090909091,1.0,-2.3978952727983707,3.2081395082387085,4.211027095077586,1.0,1.0,0.0,2.292999472609869,4.10621407062719,1.0,1.0,0.0,-0.4579365623343654,0.0,0.0,800,False
ARB,2025-07-29 13:21:00+00:00,3.6466405324093687,52,40,92,0.09090909090909091,-2.3978952727983707,0,1,9,3.655597100455751,3.6443978771380876,1.0,11.0,0.0,4.1135336627901165,4.779842720413069,1.0,1.0,0.0,3.2041745817401748,3.8719522611050547,21.0,1.0,3.044522437723423,2.290373559927372,4.211027095077586,1.0,1.0,0.0,2.9771105996592127,4.10621407062719,0.09090909090909091,1.0,-2.3978952727983707,3.2081395082387085,3.4060332201769654,1.0,0.047619047619047616,0.0,-0.00895656804638234,-0.9090909090909091,-2.3978952727983707,801,False
ARB,2025-07-29 13:21:30+00:00,3.6443978771380876,43,18,61,11.0,2.3978952727983707,1,0,1,3.6466405324093687,4.779842720413069,0.09090909090909091,1.0,-2.3978952727983707,3.655597100455751,3.8719522611050547,1.0,1.0,0.0,4.1135336627901165,4.211027095077586,1.0,1.0,0.0,3.2041745817401748,4.10621407062719,21.0,1.0,3.044522437723423,2.290373559927372,3.4060332201769654,1.0,0.047619047619047616,0.0,2.9771105996592127,3.8561431763278966,0.09090909090909091,11.0,-2.3978952727983707,-0.002242655271281091,10.909090909090908,4.795790545596741,801,False
ARB,2025-07-29 13:22:00+00:00,4.779842720413069,45,15,60,1.0,0.0,0,0,1,3.6443978771380876,3.8719522611050547,11.0,1.0,2.3978952727983707,3.6466405324093687,4.211027095077586,0.09090909090909091,1.0,-2.3978952727983707,3.655597100455751,4.10621407062719,1.0,1.0,0.0,4.1135336627901165,3.4060332201769654,1.0,0.047619047619047616,0.0,3.2041745817401748,3.8561431763278966,21.0,11.0,3.044522437723423,2.290373559927372,3.1749631477498355,1.0,1.0,0.0,1.1354448432749815,-10.0,-2.3978952727983707,802,False
ARB,2025-07-29 13:23:00+00:00,3.8719522611050547,42,20,62,1.0,0.0,0,0,1,4.779842720413069,4.211027095077586,1.0,1.0,0.0,3.6443978771380876,4.10621407062719,11.0,1.0,2.3978952727983707,3.6466405324093687,3.4060332201769654,0.09090909090909091,0.047619047619047616,-2.3978952727983707,3.655597100455751,3.8561431763278966,1.0,11.0,0.0,4.1135336627901165,3.1749631477498355,1.0,1.0,0.0,3.2041745817401748,4.085987333439572,21.0,1.0,3.044522437723423,-0.9078904593080144,0.0,0.0,803,False
