asset,time,spread,spread_vol,bid_updates,ask_updates,depth,quote_updates,log_spread,ratio,log_ratio,informed_share,n_informed,n_uninformed,n_total,hour,minute_of_hour,is_outage,spread_lag1,log_spread_lag1,log_ratio_lag1,quote_updates_lag1,spread_lag2,log_spread_lag2,log_ratio_lag2,quote_updates_lag2,spread_lag3,log_spread_lag3,log_ratio_lag3,quote_updates_lag3,spread_lag4,log_spread_lag4,log_ratio_lag4,quote_updates_lag4,spread_lag5,log_spread_lag5,log_ratio_lag5,quote_updates_lag5,d_spread,d_log_spread,d_log_ratio,d_log_ratio_lag1,d_log_spread_lag1
ARB,2025-07-28 12:16:00+00:00,3.5214992438378454,0.7709202571820516,49,36,29384.61936829091,85,1.2617224957475603,0.3333333333333333,-1.0986122886681098,0.0,0,1,1,12,16,False,3.629027954188933,1.2917166004331455,0.0,98.0,3.8400819217479514,1.3480944264494026,0.0,77.0,4.690431519699769,1.547654317203563,0.0,84.0,3.8400819217479514,1.3480944264494026,0.0,119.0,2.3486959399587692,0.8581088985015811,0.0,101.0,-0.10752871035108758,-0.029994104685585166,-1.0986122886681098,0.0,-0.05637782601625707
ARB,2025-07-28 12:17:00+00:00,2.988515561628079,0.8673039777474404,48,32,30892.712153576573,80,1.0981173534172222,1.0,0.0,0.0,0,0,1,12,17,False,3.5214992438378454,1.2617224957475603,-1.0986122886681098,85.0,3.629027954188933,1.2917166004331455,0.0,98.0,3.8400819217479514,1.3480944264494026,0.0,77.0,4.690431519699769,1.547654317203563,0.0,84.0,3.8400819217479514,1.3480944264494026,0.0,119.0,-0.5329836822097662,-0.16360514233033818,1.0986122886681098,-1.0986122886681098,-0.029994104685585166
ARB,2025-07-28 12:18:00+00:00,3.202493675074639,0.8309106697267253,51,43,41019.47618342342,94,1.1670474813710385,1.0,0.0,0.0,0,0,3,12,18,False,2.988515561628079,1.0981173534172222,0.0,80.0,3.5214992438378454,1.2617224957475603,-1.0986122886681098,85.0,3.629027954188933,1.2917166004331455,0.0,98.0,3.8400819217479514,1.3480944264494026,0.0,77.0,4.690431519699769,1.547654317203563,0.0,84.0,0.2139781134465597,0.06893012795381637,0.0,1.0986122886681098,-0.16360514233033818
ARB,2025-07-28 12:20:00+00:00,2.9861570291997843,0.9154112734465745,55,41,32030.112138945944,96,1.0973304772319912,1.0,0.0,0.0,0,0,3,12,20,False,3.202493675074639,1.1670474813710385,0.0,94.0,2.988515561628079,1.0981173534172222,0.0,80.0,3.5214992438378454,1.2617224957475603,-1.0986122886681098,85.0,3.629027954188933,1.2917166004331455,0.0,98.0,3.8400819217479514,1.3480944264494026,0.0,77.0,-0.21633664587485457,-0.06971700413904736,0.0,0.0,0.06893012795381637
ARB,2025-07-28 12:21:00+00:00,3.2005803719070864,1.3579666784606836,58,42,32939.08874392661,100,1.1664517220165151,1.0,0.0,0.0,0,0,1,12,21,False,2.9861570291997843,1.0973304772319912,0.0,96.0,3.202493675074639,1.1670474813710385,0.0,94.0,2.988515561628079,1.0981173534172222,0.0,80.0,3.5214992438378454,1.2617224957475603,-1.0986122886681098,85.0,3.629027954188933,1.2917166004331455,0.0,98.0,0.21442334270730212,0.06912124478452397,0.0,0.0,-0.06971700413904736
ARB,2025-07-28 12:22:00+00:00,3.4065746891499207,1.5092185947220855,60,36,34425.828581651374,96,1.2286384963051473,25.0,3.2188758248682006,0.9991673605328892,12,0,13,12,22,False,3.2005803719070864,1.1664517220165151,0.0,100.0,2.9861570291997843,1.0973304772319912,0.0,96.0,3.202493675074639,1.1670474813710385,0.0,94.0,2.988515561628079,1.0981173534172222,0.0,80.0,3.5214992438378454,1.2617224957475603,-1.0986122886681098,85.0,0.20599431724283424,0.062186774288632174,3.2188758248682006,0.0,0.06912124478452397
ARB,2025-07-28 12:23:00+00:00,3.618753658666457,1.2844563634210933,67,35,32074.331486252253,102,1.2888892446004814,1.0,0.0,0.0,0,0,2,12,23,False,3.4065746891499207,1.2286384963051473,3.2188758248682006,96.0,3.2005803719070864,1.1664517220165151,0.0,100.0,2.9861570291997843,1.0973304772319912,0.0,96.0,3.202493675074639,1.1670474813710385,0.0,94.0,2.988515561628079,1.0981173534172222,0.0,80.0,0.21217896951653614,0.060250748295334056,-3.2188758248682006,3.2188758248682006,0.062186774288632174
ARB,2025-07-28 12:24:00+00:00,3.6098400577467746,1.7590297049663646,59,20,37961.55430832727,79,1.2864298419187048,1.0,0.0,0.0,0,0,1,12,24,False,3.618753658666457,1.2888892446004814,0.0,102.0,3.4065746891499207,1.2286384963051473,3.2188758248682006,96.0,3.2005803719070864,1.1664517220165151,0.0,100.0,2.9861570291997843,1.0973304772319912,0.0,96.0,3.202493675074639,1.1670474813710385,0.0,94.0,-0.008913600919682185,-0.002459402681776579,0.0,-3.2188758248682006,0.060250748295334056
ARB,2025-07-28 12:26:00+00:00,2.9812606473588903,0.9963652057497886,46,57,32597.111024743117,103,1.0956949197356205,1.0,0.0,0.0,0,0,3,12,26,False,3.6098400577467746,1.2864298419187048,0.0,79.0,3.618753658666457,1.2888892446004814,0.0,102.0,3.4065746891499207,1.2286384963051473,3.2188758248682006,96.0,3.2005803719070864,1.1664517220165151,0.0,100.0,2.9861570291997843,1.0973304772319912,0.0,96.0,-0.6285794103878843,-0.1907349221830843,0.0,0.0,-0.002459402681776579
ARB,2025-07-28 12:27:00+00:00,2.7735404357142084,0.908139193320022,63,55,34427.14647540909,118,1.0237236554675464,1.0,0.0,0.0,0,0,3,12,27,False,2.9812606473588903,1.0956949197356205,0.0,103.0,3.6098400577467746,1.2864298419187048,0.0,79.0,3.618753658666457,1.2888892446004814,0.0,102.0,3.4065746891499207,1.2286384963051473,3.2188758248682006,96.0,3.2005803719070864,1.1664517220165151,0.0,100.0,-0.2077202116446819,-0.0719712642680741,0.0,0.0,-0.1907349221830843
