min,spread_mean,spread_std,ratio_mean,ratio_std,quotes,spread_pct,ratio_pct
0,2.972394466084245,2.4411528016043853,0.4655124775911065,2.3309189650918936,40.388888888888886,0.0,0.0
2,2.6898999240400117,2.2095078582608103,0.2402547641680912,2.266932912698046,27.11764705882353,-9.503938500342601,-48.38918917676693
4,3.26550911969102,2.3807517836877348,0.40451303811696604,2.1144797923528302,19.5625,9.861229959592709,-13.103717389015014
6,2.4926958835287243,1.4794769132510694,0.46680082821778845,1.2937849552830654,22.333333333333332,-16.138456319610338,0.27675963345790144
8,2.6982036546440034,2.8460924495216666,0.7381668434609023,1.577907130522176,16.058823529411764,-9.224576837590925,58.57079648663854
10,2.599889047895479,1.781049329126663,-0.32433654242189613,1.8781467538361272,22.3125,-12.53216632042432,-169.67300728441154
12,3.9241242850094715,3.246184134484183,0.1751006887758708,1.975555107779293,21.11111111111111,32.01896080028068,-62.385393044249504
14,7.513569551882055,6.838172928662664,0.5053145621483089,2.107447169852988,11.444444444444445,152.77834545898062,8.550164919996739
16,7.684965413329633,10.014890353723475,-0.04333353406307371,1.5373259699601354,12.176470588235293,158.5446010284633,-109.30878035478497
18,6.498916817341223,6.2248695084414685,0.6178201065582994,1.6321171288295917,11.529411764705882,118.64247466126953,32.71826992808899
20,7.700387009491054,6.262299315158256,0.4342661285894655,1.725902328920364,17.833333333333332,159.0634284027363,-6.712247363020618
22,6.3469860629306805,6.333580513726183,0.8414342164297043,1.645380833047937,18.11111111111111,113.53108193920285,80.75438509916748
24,5.486006331252273,5.968260513937824,0.9180057603183732,1.2160343815923433,21.88888888888889,84.56521817171175,97.20325544629644
26,5.484026483604112,6.577058889751731,0.9493285574859157,1.545391671602933,17.88888888888889,84.49861033514256,103.93192517597352
28,5.419043832979806,5.26254820988621,-0.12271221533723459,1.53478372856826,25.72222222222222,82.31240485784895,-126.36067157044535
30,6.249322173570136,3.618049432529457,-0.012558531777953222,1.8080952608598309,26.666666666666668,110.24538448299666,-102.69778628554491
32,5.680164212419287,4.484139062682632,-0.49526591400474473,1.1453844735085104,37.27777777777778,91.09725432580917,-206.39154434003655
34,8.953775187715545,6.335831963601488,-0.9646705263424455,1.065550053126467,40.77777777777778,201.23105428570574,-307.22764110090856
36,10.023212627076303,9.128068444852861,-0.01174151740853154,1.2004051004451222,62.94444444444444,237.21004198613724,-102.52227769904054
